Year,Country,TopicTag,YesVotes_Topic,NoVotes_Topic,AbstainVotes_Topic,TotalVotes_Topic
1946,LBN,HUMANITARIAN AID AND RELIEF,3,0,0,3
1946,LBN,INTERNATIONAL LAW,1,0,0,1
1946,LBN,INTERNATIONAL RELATIONS,3,1,2,6
1946,LBN,POLITICAL AND LEGAL QUESTIONS,18,1,2,21
1946,LBN,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,LBN,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,3,0,0,3
1946,LBN,SOCIAL CONDITIONS AND EQUITY,4,1,0,5
1946,LBN,SOCIAL DEVELOPMENT,2,1,0,3
1946,LBR,DISCRIMINATION,2,0,0,2
1946,LBR,GENERAL AND NATIONAL LAW,1,0,0,1
1946,LBR,HUMAN RIGHTS,4,0,0,4
1946,LBR,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,LBR,INTERNATIONAL LAW,1,0,0,1
1946,LBR,INTERNATIONAL RELATIONS,6,0,0,6
1946,LBR,POLITICAL AND LEGAL QUESTIONS,10,8,1,19
1946,LBR,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,LBR,SOCIAL CONDITIONS AND EQUITY,4,0,0,4
1946,LBR,SOCIAL DEVELOPMENT,2,0,0,2
1946,LUX,DISCRIMINATION,0,1,0,1
1946,LUX,GENERAL AND NATIONAL LAW,2,0,0,2
1946,LUX,HUMAN RIGHTS,2,1,0,3
1946,LUX,HUMANITARIAN AID AND RELIEF,3,0,0,3
1946,LUX,INTERNATIONAL LAW,1,0,0,1
1946,LUX,INTERNATIONAL RELATIONS,6,0,1,7
1946,LUX,POLITICAL AND LEGAL QUESTIONS,18,1,1,20
1946,LUX,POLITICAL EVENTS AND ISSUES,0,0,1,1
1946,LUX,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,3,0,0,3
1946,LUX,SOCIAL CONDITIONS AND EQUITY,3,1,0,4
1946,LUX,SOCIAL DEVELOPMENT,3,0,0,3
1946,MEX,DISCRIMINATION,1,0,0,1
1946,MEX,GENERAL AND NATIONAL LAW,2,0,0,2
1946,MEX,HUMAN RIGHTS,3,0,0,3
1946,MEX,HUMANITARIAN AID AND RELIEF,3,0,0,3
1946,MEX,INTERNATIONAL LAW,1,0,0,1
1946,MEX,INTERNATIONAL RELATIONS,5,0,2,7
1946,MEX,POLITICAL AND LEGAL QUESTIONS,18,0,2,20
1946,MEX,POLITICAL EVENTS AND ISSUES,0,0,1,1
1946,MEX,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,3,0,0,3
1946,MEX,SOCIAL CONDITIONS AND EQUITY,4,0,0,4
